CDC,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Region 1,0.00681009,0.00754363,0.00779527,0.00627508,0.00809285,0.00855833,0.00880312,0.00811084,0.0100608,0.00983363,0.0115966,0.0124935,0.0198979,0.0195961,0.019055,0.0255973,0.0377874,0.0346639,0.0320075,0.0278569,0.0231584,0.0166832,0.0160692,0.0154279,0.0139572,0.0138923,0.0144504,0.0130296,0.0121218,0.0117972,0.00880201,0.00859004,0.00640394,0.00664023,0.00709098,0.00606206,0.00675463,0.00530101,0.00554638,0.00597108,0.00504671,0.00462029,0.00436199,0.0040191,0.00431073,0.00440459,0.00430765,0.00460286,0.0042729,0.00488038,0.00494543,0.00418859,0.0036375
Region 2,0.0164337,0.0168599,0.0194547,0.0194412,0.0183532,0.0205948,0.019395,0.0216914,0.0244287,0.0232764,0.0254757,0.028806,0.0385704,0.0379512,0.0330121,0.0359609,0.0391546,0.0376645,0.0361476,0.0330433,0.026456,0.0223644,0.0198768,0.0193922,0.020717,0.0212549,0.0202108,0.0183118,0.0155161,0.0160885,0.0158039,0.0167523,0.0156607,0.0162477,0.0164344,0.0144005,0.0150258,0.0122862,0.0139846,0.0134374,0.0110359,0.0106042,0.0101948,0.0116238,0.0126534,0.0113241,0.0105167,0.0102179,0.010285,0.0102074,0.0120126,0.0136869,0.013347
Region 3,0.0131166,0.0154143,0.0153754,0.0148751,0.0153544,0.0157184,0.0155868,0.0177699,0.0221937,0.0227588,0.0308807,0.0495691,0.0898383,0.0808511,0.0585408,0.0470146,0.0453078,0.0431696,0.0332636,0.0277565,0.0250804,0.0173735,0.0179412,0.0156063,0.0157069,0.0178352,0.0177949,0.0171289,0.0144088,0.0140925,0.0150558,0.0140412,0.0127644,0.0128731,0.0135558,0.0111076,0.011862,0.0108426,0.00987253,0.00998411,0.00957294,0.00854415,0.00802283,0.00814108,0.00775977,0.00783158,0.00768934,0.00810217,0.010123,0.01075,0.0105408,0.0122215,0.0120277
Region 4,0.0090631,0.0115489,0.010386,0.0121174,0.0122193,0.0152164,0.0174585,0.0230033,0.0309104,0.0314559,0.0449862,0.0647497,0.080854,0.0535271,0.0362653,0.0320365,0.0354605,0.0338922,0.0293818,0.0277528,0.0320667,0.0271352,0.0266701,0.0222412,0.0177524,0.0161945,0.014426,0.012864,0.0105209,0.0103449,0.00991844,0.0100154,0.0108356,0.0100369,0.00873298,0.00747945,0.00673239,0.00591032,0.00624701,0.00639049,0.00567621,0.00591049,0.00543941,0.00504217,0.00458876,0.00638577,0.00731319,0.00776183,0.00915142,0.00947241,0.00913926,0.00956743,0.0107366
Region 5,0.0100969,0.0103684,0.0113259,0.0119065,0.0124129,0.0141431,0.0151905,0.0182408,0.0259949,0.0309801,0.0443032,0.0524225,0.0611094,0.0457098,0.0309213,0.0247527,0.0219566,0.0198973,0.0199104,0.0200038,0.0198665,0.0184224,0.0204378,0.0208073,0.0220521,0.0226194,0.0218182,0.0198287,0.0162096,0.0141592,0.0141613,0.0126536,0.0119572,0.0111254,0.00980033,0.0096609,0.00888095,0.00753824,0.00897708,0.00821031,0.00785497,0.00735135,0.00725861,0.00796939,0.00810165,0.0076974,0.00714199,0.00781331,0.00746803,0.00844191,0.00959238,0.0099454,0.00967398
Region 6,0.0177543,0.019592,0.0231319,0.0228741,0.0232156,0.0263676,0.0262719,0.0388117,0.0505702,0.0487167,0.0634333,0.0819814,0.07441,0.0752329,0.0600841,0.0689779,0.0648041,0.0555109,0.0530214,0.0475939,0.0440905,0.0394308,0.038947,0.0393399,0.0346928,0.031745,0.030091,0.0252756,0.0232242,0.018628,0.0220894,0.0216487,0.0210317,0.0203121,0.0193419,0.0186438,0.0168355,0.0153614,0.0150059,0.0150095,0.0129286,0.0136065,0.0138344,0.0127343,0.0123701,0.0119734,0.0142823,0.0141907,0.0173037,0.0208408,0.0204708,0.0213866,0.022889
Region 7,0.00437619,0.00536455,0.0056031,0.0055867,0.00471052,0.00502444,0.00582536,0.00647857,0.0100656,0.00970964,0.020656,0.0252241,0.032928,0.030148,0.0472868,0.0401302,0.0495617,0.0492245,0.0385041,0.0308221,0.0274801,0.0270847,0.0272157,0.0294771,0.0238305,0.020536,0.0193347,0.0158184,0.0124484,0.0116601,0.0125084,0.008753,0.0093889,0.00662561,0.00347102,0.00326008,0.00308818,0.00305568,0.00470561,0.00310278,0.00167304,0.00303693,0.00256004,0.00290874,0.00297427,0.00145879,0.00289519,0.00263397,0.00208914,0.00318506,0.00617538,0.00802603,0.0109902
Region 8,0.00930417,0.00861797,0.00899389,0.0106212,0.00988313,0.0105155,0.011976,0.0124731,0.0166688,0.0173401,0.0232996,0.0295954,0.0445417,0.0451964,0.0345328,0.0357125,0.035052,0.0311153,0.0292228,0.0240853,0.0219352,0.0184385,0.0192025,0.0168402,0.0166494,0.0147985,0.0156734,0.0138192,0.0118968,0.0139856,0.011661,0.0119651,0.00909508,0.00903685,0.0104232,0.00869431,0.00719776,0.00646371,0.0077497,0.0063176,0.00540996,0.00514701,0.00727467,0.00585759,0.00656586,0.00608131,0.00461403,0.00647044,0.00565767,0.00640483,0.00566169,0.00865917,0.00779347
Region 9,0.0149709,0.0154395,0.0147298,0.0141611,0.0146243,0.0172698,0.0167746,0.0184275,0.0217747,0.0194227,0.0214114,0.0245867,0.038439,0.0436397,0.0386125,0.042709,0.0482646,0.0462382,0.0409588,0.0361977,0.0314212,0.0277635,0.0257633,0.0260698,0.0231863,0.0201505,0.0210414,0.0193697,0.017693,0.0168472,0.0175202,0.0178767,0.0171548,0.0168539,0.0161969,0.0154438,0.0132114,0.012013,0.0102513,0.0106618,0.00950269,0.00856568,0.00750853,0.00787652,0.0076383,0.00848963,0.010242,0.0111683,0.0108417,0.009134,0.0117573,0.0125031,0.0106747
Region 10,0.00546008,0.0100433,0.00839112,0.00801574,0.0095393,0.0115793,0.0113267,0.012931,0.0133495,0.01518,0.0178962,0.0255025,0.0367199,0.0445205,0.0332616,0.0371374,0.0366281,0.0315719,0.0245207,0.021294,0.0152313,0.0143378,0.0140524,0.014353,0.0145723,0.0114891,0.0114182,0.00836858,0.00992063,0.011214,0.0130984,0.00759308,0.00816104,0.0127361,0.00765892,0.00554839,0.00507757,0.00484105,0.00619003,0.00547545,0.00712628,0.00443714,0.00367985,0.00326619,0.00407332,0.00263591,0.00293513,0.00137955,0.00464396,0.00740497,0.00513375,0.00517647,0.00542005
